sample_id,text,target
sms_1,Ok lar... Joking wif u oni...,0
sms_3,U dun say so early hor... U c already then say...,0
sms_4,"Nah I don't think he goes to usf, he lives around here though",0
sms_9,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1
sms_11,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",1
sms_13,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0
sms_14,I HAVE A DATE ON SUNDAY WITH WILL!!,0
sms_16,Oh k...i'm watching here:),0
sms_17,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0
sms_20,Is that seriously how you spell his name?,0
sms_21,I‘m going to try for 2 months ha ha only joking,0
sms_22,So ü pay first lar... Then when is da stock comin...,0
sms_25,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,0
sms_28,"I'm back &amp; we're packing the car now, I'll let you know if there's room",0
sms_31,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,0
sms_32,K tell me anything about you.,0
sms_34,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,1
sms_35,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0
sms_38,Anything lor... U decide...,0
sms_39,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0
sms_43,WHO ARE YOU SEEING?,0
sms_48,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0
sms_49,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0
sms_50,What you thinked about me. First time you saw me in class.,0
sms_53,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",0
sms_54,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,1
sms_55,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0
sms_56,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",1
sms_59,Yes..gauti and sehwag out of odi series.,0
sms_60,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,0
sms_61,Ha ha ha good joke. Girls are situation seekers.,0
sms_62,Its a part of checking IQ,0
sms_64,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,0
sms_67,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",1
sms_73,K..k:)where are you?how did you performed?,0
sms_74,U can call me now...,0
sms_78,Does not operate after  &lt;#&gt;  or what,0
sms_79,Its not the same here. Still looking for a job. How much do Ta's earn there.,0
sms_80,"Sorry, I'll call later",0
sms_83,You will be in the place of that man,0
sms_84,Yup next stop.,0
sms_85,"I call you later, don't have network. If urgnt, sms me.",0
sms_88,I'm really not up to it still tonight babe,0
sms_90,Yeah do! Don‘t stand to close tho- you‘ll catch something!,0
sms_91,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,0
sms_92,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0
sms_93,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,1
sms_95,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",1
sms_96,Watching telugu movie..wat abt u?,0
sms_97,i see. When we finish we have loads of loans to pay,0
sms_98,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",0
sms_99,I see a cup of coffee animation,0
sms_100,Please don't text me anymore. I have nothing else to say.,0
sms_102,I'm still looking for a car to buy. And have not gone 4the driving test yet.,0
sms_104,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",0
sms_105,Umma my life and vava umma love you lot dear,0
sms_107,"Aight, I'll hit you up when I get some cash",0
sms_108,How would my ip address test that considering my computer isn't a minecraft server,0
sms_111,What is the plural of the noun research?,0
sms_112,Going for dinner.msg you after.,0
sms_114,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,1
sms_117,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),1
sms_121,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",1
sms_123,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,1
sms_126,"Good stuff, will do.",0
sms_128,Are you there in room.,0
sms_130,K..k:)how much does it cost?,0
sms_135,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,1
sms_136,I only haf msn. It's yijue@hotmail.com,0
sms_141,"K, text me when you're on the way",0
sms_142,"Sir, Waiting for your mail.",0
sms_143,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",0
sms_144,I know you are. Can you pls open the back?,0
sms_145,Yes see ya not on the dot,0
sms_146,Whats the staff name who is taking class for us?,0
sms_153,Ok... Ur typical reply...,0
sms_155,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",0
sms_157,I'm leaving my house now...,0
sms_159,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,1
sms_162,New car and house for my parents.:)i have only new job in hand:),0
sms_163,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,0
sms_165,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",1
sms_166,I place all ur points on e cultures module already.,0
sms_167,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,1
sms_168,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",0
sms_172,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...",0
sms_173,What time you coming down later?,0
sms_174,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m...",0
sms_175,"Well, i'm gonna finish my bath now. Have a good...fine night.",0
sms_178,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",0
sms_180,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,0
sms_181,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,0
sms_183,ok. I am a gentleman and will treat you with dignity and respect.,0
sms_184,"He will, you guys close?",0
sms_187,"Haha awesome, be there in a minute",0
sms_189,Have you got Xmas radio times. If not i will get it now,0
sms_190,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,0
sms_192,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,0
sms_193,Hi :)finally i completed the course:),0
sms_194,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,0
sms_195,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,0
sms_200,"Found it, ENC  &lt;#&gt; , where you at?",0
sms_203,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,0
sms_205,U call me alter at 11 ok.,0
sms_208,"Aight yo, dats straight dogg",0
sms_209,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,0
sms_211,"What's up bruv, hope you had a great break. Do have a rewarding semester.",0
sms_212,Home so we can always chat,0
sms_213,K:)k:)good:)study well.,0
sms_214,Yup... How ü noe leh...,0
sms_215,Sounds great! Are you home now?,0
sms_217,Tired. I haven't slept well the past few nights.,0
sms_218,Easy ah?sen got selected means its good..,0
sms_219,I have to take exam with march 3,0
sms_221,Ok no prob. Take ur time.,0
sms_222,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,0
sms_223,"Sorry, I'll call later",0
sms_224,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,0
sms_225,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",1
sms_229,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",0
sms_230,Dear good morning now only i am up,0
sms_231,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,0
sms_232,Dear we are going to our rubber place,0
sms_233,"Sorry battery died, yeah I'm here",0
sms_234,Yes:)here tv is always available in work place..,0
sms_235,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,1
sms_236,I have printed it oh. So  &lt;#&gt;  come upstairs,0
sms_237,Or ill be a little closer like at the bus stop on the same street,0
sms_238,Where are you?when wil you reach here?,0
sms_239,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",0
sms_240,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,1
sms_244,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",0
sms_245,U don't remember that old commercial?,0
sms_246,Too late. I said i have the website. I didn't i have or dont have the slippers,0
sms_247,I asked you to call him now ok,0
sms_248,Kallis wont bat in 2nd innings.,0
sms_250,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,1
sms_253,What you doing?how are you?,0
sms_255,"I'm back, lemme know when you're ready",0
sms_257,Mmm so yummy babe ... Nice jolt to the suzy,0
sms_258,Where are you lover ? I need you ...,0
sms_261,Yup,0
sms_262,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,0
sms_264,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,1
sms_265,Why you Dint come with us.,0
sms_267,"Not sure yet, still trying to get a hold of him",0
sms_268,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,1
sms_271,"Come to mu, we're sorting out our narcotics situation",0
sms_272,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",0
sms_273,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,1
sms_275,No objection. My bf not coming.,0
sms_278,"Awesome, I'll see you in a bit",0
sms_279,Just sent it. So what type of food do you like?,0
sms_282,"Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch gdeve..",0
sms_285,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",0
sms_288,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,0
sms_290,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",0
sms_291,Hey you told your name to gautham ah?,0
sms_292,Haf u found him? I feel so stupid da v cam was working.,0
sms_293,Oops. 4 got that bit.,0
sms_296,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,1
sms_298,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,0
sms_299,I cant pick the phone right now. Pls send a message,0
sms_301,"Awesome, I remember the last time we got somebody high for the first time with diesel :V",0
sms_304,He is a womdarfull actor,0
